molecule_chembl_id,canonical_smiles,standard_value
CHEMBL58146,Nc1ccnc2ccccc12,50700.0
CHEMBL543667,Cl.c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,83.6
CHEMBL555320,Cc1cccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3.Cl,1.5
CHEMBL539811,CN(C)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,45.0
CHEMBL538533,CN(C)CCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,264.0
CHEMBL540837,Cl.NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,147.0
CHEMBL544605,Cl.NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,89.4
CHEMBL347914,CCCN(c1ccncc1)n1ccc2cc(Br)ccc21,100000.0
CHEMBL346142,CCCN(c1ccncc1)n1ncc2ccccc21.O=C(O)/C=C/C(=O)O,100000.0
CHEMBL154735,CCCN(c1cc(Cl)ncn1)n1ccc2ccccc21,100000.0
CHEMBL155109,CCCCN(c1ccncc1)n1ccc2ccccc21,62000.0
CHEMBL348034,C#CCN(c1ccncc1)n1ccc2ccccc21,100000.0
CHEMBL154488,c1ccc2c(c1)ccn2Nc1ccncc1,100000.0
CHEMBL157902,CN(c1ccncc1)n1ccc2cc([N+](=O)[O-])ccc21,100000.0
CHEMBL345251,CCCN(c1ccncn1)n1ccc2ccccc21,100000.0
CHEMBL152842,CN(c1ccncc1)n1ccc2ccccc21,100000.0
CHEMBL154228,CCCN(c1ccncc1)n1cc(CC)c2ccccc21,20000.0
CHEMBL345439,CCCN(c1ccncc1)n1cc2ccccc2n1,100000.0
CHEMBL348865,COc1ccc2c(ccn2Nc2ccncc2)c1,100000.0
CHEMBL351760,Cc1cn(Nc2ccncc2)c2ccccc12,100000.0
CHEMBL154541,CCN(c1ccncc1)n1ccc2ccccc21,100000.0
CHEMBL152362,Brc1ccc2c(ccn2Nc2ccncc2)c1,100000.0
CHEMBL347666,CN(c1ccncc1)n1ccc2cc(Br)ccc21,100000.0
CHEMBL154257,CCCN(c1ccncc1)n1cc(C(C)=O)c2ccccc21,58000.0
CHEMBL153847,O=C(O)/C=C/C(=O)O.c1cnn(Nc2ccncc2)c1,100000.0
CHEMBL154319,CC(C)N(c1ccncc1)n1ccc2ccccc21,100000.0
CHEMBL348716,c1ccc2nn(Nc3ccncc3)cc2c1,100000.0
CHEMBL435034,CCCN(c1ccncc1)n1c2ccccc2c2ccccc21.O=C(O)/C=C/C(=O)O,100000.0
CHEMBL155359,O=C(O)/C=C/C(=O)O.c1ccc2c(c1)cnn2Nc1ccncc1,100000.0
CHEMBL154945,CCCN(c1ccncc1)n1c(C)cc2ccccc21,100000.0
CHEMBL155603,CCCN(c1ccncc1)n1cc(C=O)c2ccccc21,20000.0
CHEMBL350692,CCCN(c1ccncc1)n1cc(C)c2ccccc21,29000.0
CHEMBL155460,CCCN(c1ccncc1)n1ccc2cc(Cl)ccc21,100000.0
CHEMBL356922,O=[N+]([O-])c1ccc2c(ccn2Nc2ccncc2)c1,100000.0
CHEMBL157971,CCCN(c1ccncc1)n1cccn1.O=C(O)/C=C/C(=O)O,100000.0
CHEMBL357553,Clc1ccc2c(ccn2Nc2ccncc2)c1,100000.0
CHEMBL347336,C=CCN(c1ccncc1)n1ccc2ccccc21,100000.0
CHEMBL155211,CCCN(c1ccncc1)n1ccc2cc(OC)ccc21,100000.0
CHEMBL154297,Cc1cc2ccccc2n1Nc1ccncc1,100000.0
CHEMBL345442,CCCN(c1ccncc1)n1cc(C#N)c2ccccc21,6800.0
CHEMBL345607,O=C(O)/C=C/C(=O)O.c1ccc2c(c1)c1ccccc1n2Nc1ccncc1,100000.0
CHEMBL42531,CCCN(c1ccncc1F)n1cc(C)c2cc(OC(=O)NC)ccc21,58.0
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,9.0
CHEMBL290628,CCCCNC(=O)Oc1ccc2c(c1)c(C)cn2N(CCC)c1ccncc1F,4000.0
CHEMBL44080,CCCN(c1ccncc1F)n1cc(C)c2cc(OC(=O)NCc3ccccc3)ccc21,43.0
CHEMBL42667,CCCCCCCNC(=O)Oc1ccc2c(c1)c(C)cn2N(CCC)c1ccncc1F,43000.0
CHEMBL295462,CNC(=O)Oc1ccc2c(c1)c(C)cn2Nc1ccncc1F,130.0
CHEMBL156290,Cc1cccc(N2CCN(CCNCc3ccc(CN4CCCCC4)o3)C2=C(C#N)C#N)c1,13.0
CHEMBL154211,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,30.0
CHEMBL160914,Cc1ccc(N2CCN(CCNCc3ccc(CN4CCCCC4)o3)C2=C(C#N)C#N)cc1,2.2
CHEMBL155300,COc1ccccc1N1CCN(CCNCc2ccc(CN3CCCCC3)o2)C1=C(C#N)C#N,66.0
CHEMBL160913,COc1ccc(N2CCN(CCNCc3ccc(CN4CCCCC4)o3)C2=C(C#N)C#N)cc1,19.0
CHEMBL155983,COc1cccc(N2CCN(CCNCc3ccc(CN4CCCCC4)o3)C2=C(C#N)C#N)c1,14.0
